days,capsules,dose,speed,hatch_ratio,juveniles
9,0.4,0,59.160477316649505,45.0,
9,0.4,0,0.5589519650655024,45.0,
9,0.4,0,14.4,45.0,
10,0.6,0,13.1,19.0,
10,0.6,0,13.1,19.0,
10,0.6,0,38.666666666666664,19.0,
10,0.6,0,1.6666666666666667,19.0,
10,0.6,0,11.415875885021796,19.0,
10,0.6,0,3.610016928245935,19.0,
10,0.6,0,37.0,19.0,
10,0.6,0,15.933333333333334,19.0,
10,0.6,0,48.089859458391956,19.0,
10,0.6,0,0.21628498727735374,19.0,
10,0.6,0,18.199999999999996,19.0,
10,1.2,0,13.1,19.0,
10,1.2,0,13.1,19.0,
10,1.2,0,38.666666666666664,19.0,
10,1.2,0,1.6666666666666667,19.0,
10,1.2,0,11.415875885021796,19.0,
10,1.2,0,3.610016928245935,19.0,
10,1.2,0,37.0,19.0,
10,1.2,0,15.933333333333334,19.0,
10,1.2,0,48.089859458391956,19.0,
10,1.2,0,0.21628498727735374,19.0,
10,1.2,0,18.199999999999996,19.0,
11,2.0,0,16.06666666666667,36.0,
11,2.0,0,16.06666666666667,36.0,
11,2.0,0,40.0,36.0,
11,2.0,0,0.3333333333333333,36.0,
11,2.0,0,11.246727919216717,36.0,
11,2.0,0,3.5565276448931025,36.0,
11,2.0,0,39.666666666666664,36.0,
11,2.0,0,12.2,36.0,
11,2.0,0,106.79608341430998,36.0,
11,2.0,0,-0.24066390041493796,36.0,
11,2.0,0,10.066666666666666,36.0,
11,1.1,0,16.06666666666667,36.0,
11,1.1,0,16.06666666666667,36.0,
11,1.1,0,40.0,36.0,
11,1.1,0,0.3333333333333333,36.0,
11,1.1,0,11.246727919216717,36.0,
11,1.1,0,3.5565276448931025,36.0,
11,1.1,0,39.666666666666664,36.0,
11,1.1,0,12.2,36.0,
11,1.1,0,106.79608341430998,36.0,
11,1.1,0,-0.24066390041493796,36.0,
11,1.1,0,10.066666666666666,36.0,
12,0.0,0,16.166666666666664,93.0,
12,0.0,0,16.166666666666664,93.0,
12,0.0,0,42.0,93.0,
12,0.0,0,0.6666666666666666,93.0,
12,0.0,0,13.235054464061216,93.0,
12,0.0,0,4.185291706281256,93.0,
12,0.0,0,41.333333333333336,93.0,
12,0.0,0,16.4,93.0,
12,0.0,0,88.41813842228451,93.0,
12,0.0,0,0.014432989690721711,93.0,
12,0.0,0,25.06666666666667,93.0,
12,1.7,0,16.166666666666664,93.0,
12,1.7,0,16.166666666666664,93.0,
